"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25"
"1" 9 0.345757476876463 0 0 1 2.14115959448862e-189 2.81196697853992 1.12637215342326 0.564624258923287 1 11 18 -0.0879718690024062 -0.456388206929244 -0.579515752011027 0.328629955500865 0.298111316274403 0.0104517598741309 0.367755074724144 0.00356385535352999 0.624065941581294 0.564624258923287 0.608157718741338 0.0947362244533439 0.164738614834261
"2" 1 0.241301879271229 0 0 1 0.720716442920514 2.07480647575957 1.16440513146894 0.564781930219445 1 11 18 -0.0446888387409771 -0.338699972493776 -0.494467632493453 0.246171324502621 0.0497758169497032 0.33099178047999 0.0990385862187479 0.164695696403653 0.536029545980048 0.564781930219445 0.574082689819587 0.249698645826931 0.237355965749493
"3" 7 0.616702117767969 0 0 0.965049424296959 0.168452824048206 2.999999 1.27412130633983 0.656712381762575 1 5 1 -0.183306976080369 -0.504230127580155 -0.409739833393778 0.402020199407818 0.31101235608809 0.00861901699158363 0.384024246559761 0.00273378612697872 0.688728319365794 0.656712381762575 0.707971422305625 0.0518780532627165 0.179222057910307
"4" 9 0.975101807378301 1 16 0.904162402523789 5.31764518331102e-194 2.999999 0.815202584549731 0.599934616924082 1 5 21 0.296355199990619 -0.342377408282726 -0.431348300086231 0.32569119094189 0.222087066465347 0.0310459908082774 0.266320831702902 0.0166280163961261 0.69577422903169 0.599934616924082 0.697484194972393 0.0156273422689318 0.174037496726604
"5" 9 0.927176991152426 1 15 0.812190766560674 0.0677249165265798 2.999999 0.710876531754939 0.594949545721185 1 5 4 -0.14464021056052 -0.53337962757797 -0.228464490887201 0.237245179145861 0.210182116228351 0.0365977313756476 0.227396134786828 0.0288373082089453 0.532287314304183 0.594949545721185 0.595825912115814 0.321062619173358 0.130035727624044
"6" 9 0.96069033432474 1 15 0.838093960386659 5.30676251422649e-16 2.46094005739204 1.50270532658977 0.739932038589119 1 5 3 -0.0755068809935144 -0.0349266615159627 -0.44625112689139 0.462706272698034 0.208743080407776 0.0373296123026168 0.270027030343542 0.0157634359771404 0.654299939736796 0.739932038589119 0.756429045908648 0.147831891565319 0.229029233714215
"7" 7 0.269074549577685 0 0 1 0.673337408132782 2.999999 1.62329233779134 0.728385409092368 1 5 1 -0.0418336295026307 -0.385838853549242 -0.342779264193632 0.0767999325718217 0.378346188996701 0.00300083686766373 0.408320363238931 0.00181919814715048 0.672998135772648 0.728385409092368 0.737449966034163 0.214451343214874 0.224981701848308
"8" 7 0.674209573952022 1 14 0.829037143050582 0.320343869014082 2.999999 0.846672968035185 0.641782045062831 1 5 1 -0.175348240074238 -0.339098987587725 -0.340393571775742 0.244381323974933 0.120152482733606 0.12371333909295 0.182844901397475 0.0531659540260587 0.558343858679659 0.641782045062831 0.645945253817973 0.28325602786614 0.223463324086233
"9" 6 0.783357362304599 2 19 0.827315849731077 4.42746321195951e-202 2.999999 0.567252865003166 0.702691876499222 2 5 1 -0.104469631078391 -0.142797337224966 -0.36782988897476 0.2983784128313 0.12411281583024 0.117285029299747 0.162624529692408 0.0698757199940858 0.677454148865994 0.702691876499222 0.723984149069065 0.14063897455187 0.139431072676133
"10" 7 0.937525431468156 1 20 0.830690262073027 0.253288432684284 2.999999 1.08427858286027 0.572780811493487 1 5 3 -0.0988152927305484 -0.576111826300649 -0.411877530855207 0.422498239673496 0.179563222821499 0.0555848355297519 0.279207096980877 0.0137994224196523 0.630377107069573 0.572780811493487 0.67425324391307 0.0169795659509754 0.15404840451112
"11" 9 0.641355393017283 0 0 0.982047485110437 1 2.64794656484133 1.53082930259998 0.721683353042254 1 5 3 -0.0608687036262906 -0.252748227986545 -0.347746700618766 0.422751588410844 0.0792503118777714 0.216363069729857 0.150999317098776 0.0817087356780299 0.56477465047686 0.721683353042254 0.734648637335877 0.181883832038952 0.249533224050254
"12" 7 0.522856085389465 1 14 1 0.1383139868847 2.999999 1.83268707922553 0.774779252727625 1 5 10 0.144836026991686 -0.0920087208280505 -0.311697972708337 0.168101441701319 0.164512067733089 0.0681206596835613 0.276779133023702 0.0142953523156106 0.651885737545958 0.774779252727625 0.768452779627114 0.496879899708974 0.339835527112652
"13" 7 0.443027975836681 0 0 0.944083681756302 0.0758993591325611 2.999999 1.33827492660151 0.693698271024946 1 5 1 -0.157369790793196 -0.380778349745847 -0.535750027759038 0.264574975332073 0.113533679008483 0.135275758095204 0.24580234589692 0.0222762988498117 0.657623385033575 0.693698271024946 0.707510263246257 0.185277273740697 0.29900243186102
"14" 9 0.464961852998465 0 0 0.953970361376691 1.03573813193105e-51 1.97062100337446 2.30424062427698 0.598998399286351 1 11 2 -0.095388355285642 -0.350634940158096 -0.599799017544792 0.346554200107697 0.236269450473083 0.0254745985321048 0.30182666904563 0.00988996404344511 0.720406750328838 0.598998399286351 0.743014179363386 0.00310182266308046 0.223107506449761
"15" 9 0.999962990289013 1 18 0.687717249516578 2.0506851927723e-146 2.999999 0.659789721924986 0.692012955629314 1 5 3 -0.274193713409687 -0.147645527275702 -0.555047092988529 0.569781820204582 0.337328283606676 0.005765729724033 0.358385231919562 0.00414116358868633 0.651542494785005 0.692012955629314 0.722646636159429 0.0953438641211486 0.123366960465835
"16" 9 0.417873311162746 2 16 0.855652499034572 2.4300086428714e-16 2.999999 1.24930266649592 0.708097367569402 1 5 7 -0.121576070415505 -0.221610327195793 -0.388559305988791 0.11897197200787 0.390691226545899 0.00244810821699026 0.435019094952958 0.00114306594146241 0.739017484623184 0.708097367569402 0.784565053962494 0.0122808426160228 0.343251022889417
"17" 6 0.396652908528901 1 14 1 5.38464347899663e-177 2.2243798330148 2.04143586357583 0.679421894179289 1 5 19 -0.0111266886733026 -0.302983431944936 -0.419481377610359 0.382983296404241 0.335376150866356 0.00594281007051367 0.387458290875911 0.00258303377429758 0.726873644508824 0.679421894179289 0.733028078389139 0.0415756889601981 0.298561269970268
"18" 7 0.532418515011013 1 9 0.877740019539233 9.54556252720759e-218 2.999999 0.785516898969772 0.675185563796796 2 5 1 -0.0697968686727945 -0.198969224537106 -0.249042563655044 0.237272638568646 0.220483057099017 0.031744273296149 0.291831888756074 0.0114691512378053 0.68712127102369 0.675185563796796 0.70945097428189 0.095149540073215 0.121589944806771
"19" 9 0.781703469640112 1 18 0.886029772968689 4.88713536010522e-17 2.999999 0.930506846894778 0.712480813842551 2 11 14 -0.00516614253572034 -0.304494451441381 -0.628728335282629 0.192718790294554 0.213386840405917 0.0350167284194662 0.30289433692516 0.00973378726601348 0.644362812548246 0.712480813842551 0.755339343002717 0.0574283253587221 0.120819391788814
"20" 7 0.98030293800612 1 17 0.82798923096049 0.770708120206863 2.999999 1.02657183493803 0.637232077426971 1 5 3 -0.00474951972382271 -0.0717903844930666 -0.345673650994908 0.387253902708045 0.213555099228193 0.0349355465501431 0.265894309289674 0.0167303137432029 0.498574110883239 0.637232077426971 0.66169002921621 0.140798484011956 0.240781347821179
"21" 9 0.483407473533758 0 0 1 0.258997871845068 2.999999 1.61358258367789 0.700968237598318 1 5 3 -0.320375993908231 -0.166334421029405 -0.34103283568855 0.463936556747281 0.167421300238022 0.0654998856850191 0.246477956906148 0.0220646323160005 0.595037843383915 0.700968237598318 0.728019588690242 0.106358963250697 0.227549041137522
"22" 6 0.317879378310786 1 12 0.856375167191515 6.28460559437909e-203 2.999999 1.23074427496016 0.704102666611863 1 5 13 0.11978764453159 -0.0967911167716853 -0.258480523256888 0.223170293218793 0.103372784438185 0.155253400896115 0.149318117932946 0.0835764055401942 0.54034022610643 0.704102666611863 0.718442048617378 0.177710992386675 0.278614856060585
"23" 7 0.246941747629458 0 0 1 0.0395062400158606 2.39454215457548 2.24590569195446 0.657118061857585 1 5 18 -0.132843337885257 -0.514997182533351 -0.173581634449334 0.225557045606211 0.394984436091806 0.00227890380225237 0.425726202015681 0.00134662631260651 0.691289403716941 0.657118061857585 0.718851449769863 0.0354279366960097 0.204605497966646
"24" 6 0.399846083695172 0 0 0.960528496399598 1.15730889309088e-79 2.66383252165515 1.26139107280357 0.727154709848845 1 5 3 -0.211011325976268 -0.115327532300308 -0.333516082392037 0.293401032883994 0.183129253671382 0.0529612305184366 0.23924936372002 0.0244310328639692 0.690920976188508 0.727154709848845 0.748769828633222 0.121934449293959 0.248907719041417
"25" 7 0.560897838831551 0 0 0.934909316960136 2.71558415506944e-214 2.999999 1.03852831940006 0.725862276030016 1 5 3 -0.0230392742483968 -0.0517426619458091 -0.608468969536896 0.382333903593633 0.185157365147422 0.0515230284589738 0.245551688191238 0.0223553142009834 0.59987862894709 0.725862276030016 0.73412358906924 0.22337419367266 0.24348149357076
