"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 0.095850748154245 0.0242960433038196 0.0242941980506794 0.138974572302098 0.0242943364510177 0.127705035774145 0.218751495093886 7.60939936463409e-05 0.345757476876463
"2" 0.241301879271229 0.0611671902258238 0.0611602202977665 0.216691587109204 0.061160388981467 0.0662421673472006 0.220931916167388 0.000124587650771502 0.0712200629491499
"3" 0.056879428399435 0.0187660964641281 0.0144165491924396 0.143798852001233 0.0158523813237968 0.0643330860216263 0.616702117767969 1.95043658087298e-05 0.0692319844635633
"4" 0.00097215576266907 0.000460909901110629 0.000246398978640573 0.00203313723863978 0.000366570860803307 0.0103131306044762 0.0105038711758406 2.01809951917586e-06 0.975101807378301
"5" 0.000195440902977892 8.63967358341405e-05 4.95357857436521e-05 0.00316922946392023 0.000231090858707553 0.00120460560844352 0.0678860087680212 7.00723925687336e-07 0.927176991152426
"6" 0.00223792400783987 0.000567239486090093 0.000567216705821928 0.0112336479425631 0.00329476523881386 0.00581040239276535 0.0155965128824109 1.95701895456809e-06 0.96069033432474
"7" 0.162382939597632 0.0411591316975307 0.0411573936382917 0.153639430187291 0.0411575897367217 0.0490383079453536 0.269074549577685 1.0203957843985e-05 0.242380453661651
"8" 0.0428049927734775 0.0109941304627 0.0108492625388167 0.150442097873141 0.0377082393505436 0.0274941604507206 0.674209573952022 0.000222245719392132 0.045275296879187
"9" 0.00395385506732794 0.0121950634011522 0.00100212714295012 0.0130388308153255 0.0141477017817989 0.783357362304599 0.0993736488349177 0.000240262862773938 0.0726911477891548
"10" 0.00382819034914874 0.000970308785187841 0.000970285746315357 0.0485557009373892 0.00481399444431266 0.0019772309561644 0.937525431468156 6.0296948710888e-06 0.00135282761845505
"11" 0.0228954065057685 0.00580307567359195 0.00580301347771688 0.109718376159763 0.00582177815934503 0.00580307112406543 0.202797918837585 1.96704488199213e-06 0.641355393017283
"12" 0.0244592786529707 0.00619987173258537 0.00619939730583479 0.135725279794641 0.00619945025351539 0.0223058861063317 0.522856085389465 5.96259004213749e-07 0.276054154505652
"13" 0.100008357153699 0.0253484031316403 0.0253480016720784 0.175622040665807 0.0352436594958796 0.0952662589882338 0.443027975836681 2.78550254366535e-05 0.100107448030545
