"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" -0.0257254947822573 -0.0234330774230705 -0.516065398856538 0.0409225152994406 0.656785558049898 -0.181425657741811 0.177631775769366 -0.0737743627783385 -0.0531914666916135 -0.000810466584350412 4.56848132349255e-05 -0.00021277243591354 6.19535924523759e-06 1.1085904577639e-05 0.000120218951902422 0.00024915898302113 -0.00128362860923775 -0.000496919897214197 0.00059393442895066 5.18837061690338e-05 1.23453454012952e-06
"5" 0.0882790707891509 0.0685305242806047 0.409628130298125 -0.0398235790268885 -0.684268786377093 0.132079343286662 0.0229367953680679 0.00945778890645811 -0.00714142478822678 -0.00080494253647351 0.00158773859522306 -0.000152314452680426 1.03712978442575e-05 1.82408208650122e-05 -4.02582136058132e-06 -0.000327801669164969 -2.43469010092925e-06 -2.16378919781539e-07 -3.72460681191046e-07 -2.05635492530914e-06 -4.90864814058038e-08
"6" -0.011370178736749 -0.00964485849261035 -0.55488222612736 0.151944541291193 0.489457096723603 -0.089026731874741 0.109579815663257 -0.0654494570077714 -0.0205413794825173 -9.09243615366811e-05 6.29702800364748e-05 -1.89986954497301e-06 3.74042384768734e-06 7.31673336224833e-06 -1.03244364746779e-05 -8.38832395895622e-06 -2.75877709189872e-05 -1.17460539063176e-07 -2.34029532878303e-07 -4.52157040301031e-07 -7.2098400809881e-07
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" -0.352326146683213 0.200091380965722 -0.148936048704859 0.116169645465788 0.554030792467005 -0.361679544298058 -0.0130384145997221 -0.0106510397514369 0.0190783856752654 0.000260981083536631 -0.00314898735735363 5.0025991299268e-05 2.27411811436384e-05 3.14298882459937e-05 -1.62891868333783e-05 -3.03646758192956e-05 -4.76367444112228e-06 5.9604436235814e-05 -0.00019904415449974 0.000299273127859172 -6.36171958673818e-05
"9" 0.0016786780780177 0.00432471553437006 0.0016283368095923 -0.000831558463511055 0.475118068901019 -0.485968636323095 0.00093880822100088 0.00258770892407479 0.000333992580621604 1.18004213591851e-05 0.000166805110882875 4.27176104344473e-06 4.33813121158376e-07 5.01802011119223e-07 -6.68025881032981e-06 1.1870215235451e-05 6.76926923571397e-07 5.19860307733039e-08 6.33778792451992e-08 7.07716653197643e-08 1.98105680653023e-08
"10" 9.72573573825917e-07 1.19932762392909e-06 1.46096337401857e-06 6.33341425700492e-06 5.52636549049238e-06 7.80843121405157e-06 0.000119071376766224 0.000209554635003026 0.000302944906426953 0.000260540627080466 0.000625089399701345 0.000173485410110731 0.108700574495802 0.139119370565831 -0.426720173894409 0.171373792284692 0.00481338088834149 1.73097451352055e-05 0.000198415908068894 0.000308613446152581 0.000474729129763801
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0.294714715884176 0.267898011701007 0.0303185813257939 -0.0779885777788361 -0.790253786378484 0.23236722451134 -0.0226574870576007 0.0877860323880109 0.0107444048392132 0.0352242518873617 -0.0752672118019423 0.000850546842370738 0.00122033124260096 0.00208826472913466 -0.000495451880512018 -0.000417744597201524 0.00502025388901889 -1.82527306330247e-05 -2.87770608802813e-05 -0.00127755922886094 0.000172229274919905
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" -0.116320874487021 -0.19781843067516 -0.108237283327499 0.0773179159900411 0.551133721984019 -0.200600950745643 -0.000380692300599968 -0.00127642039692092 -0.0039340384859951 -3.46299639428265e-06 0.000117094450764906 7.23297406881161e-07 4.11296144358431e-08 4.71283551262912e-08 2.36720113556495e-07 8.27509936765727e-07 8.46433280510885e-07 8.96788845299239e-08 1.25897227377379e-07 2.61340075326698e-07 2.21855516018069e-07
"16" 0.368503379524851 -0.0765285025331805 0.219678483898143 -0.109002181902276 -0.491847785457031 0.076796316842566 0.0033483400967342 0.00820377790620857 0.000452000656163119 -4.01802907300371e-05 0.00036419208409624 2.82396657414672e-05 -1.05951144392776e-05 -1.36195445843949e-05 8.04074111290753e-05 2.5697818571665e-05 -0.000133021201915408 -1.2123195777023e-05 -3.28869689088456e-05 0.00016454083090326 -2.44805262700424e-05
"17" 0.291439238553068 0.24877443644568 -0.0553088901382428 -0.0179231328641438 -0.715280948744642 0.212900219395089 0.0506310047287314 -0.011009486218876 -0.00299882355979357 2.1941597103172e-05 -0.00109135451827117 -8.81195786776354e-05 1.8752278360926e-05 9.81642392669982e-06 -5.78919515256393e-05 -0.00033248779568887 0.000352333049825993 -1.0220499250932e-05 -1.91060141613094e-05 -1.73827255352313e-05 -9.89786298012835e-06
"18" 0.416625220160744 0.385699850198381 0.380553535810235 -0.341112731488298 -0.562736800508961 -0.551635269169342 0.0773326577784565 0.16937746577606 0.217201428058687 -0.065762247818861 -0.0360946406121663 -0.00821594305092128 0.00277947979673466 0.00187798016866394 0.000480403265768805 -0.000446743316227416 -0.117668202186375 0.0442574639240917 -0.0207764566647257 0.00476382772857251 0.00349972214948199
"19" 3.39123245859492e-05 5.08571619980241e-05 6.06518943478625e-05 0.00164301137546335 0.000179091416636665 0.00112463751030714 -0.00262453417362982 0.0766995535074914 0.115129040629722 0.36524090404553 -0.649769409586149 0.0259058034051034 -0.00995762383868077 -0.0182501015238878 0.0481372379714725 0.0416614082441375 0.00370040418499513 0.000141695895040028 0.000259762656152115 0.000256689387417637 0.000377007511943906
"20" 0.155190552302377 0.289094230353327 0.144866704109873 -0.092105926870638 -0.53275696364797 0.0418370286902078 -0.0623825622943273 0.0619704885342006 -0.00439438574902935 -0.000268968654742801 -0.000767911962937918 -8.5593449591394e-05 6.65609630771265e-06 9.12553997920032e-06 -1.69944341387461e-05 -1.62604320879819e-05 -0.000191126295337549 6.13739647589983e-07 1.39800749930205e-06 1.25825652318179e-05 -2.68614785426513e-06
"21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" -0.232319767965831 -0.186537531485046 -0.142576513650447 -0.015376317512844 0.755105829783134 -0.141525929909077 0.0260846454501562 -0.0046559509326882 -0.0648226422240992 0.00126424726036895 0.00340317558664887 0.000546691932120397 -3.8115427110636e-08 -1.629856417465e-09 7.96943478992974e-06 -2.13708711226998e-07 0.00140219822568893 -3.08374982804356e-06 -7.76161614792279e-06 1.47146690156473e-05 -3.71984191847843e-06
"23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
